LMids,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
10.5,0.00225965,0.002553635,0.002589925,0.00256446,0.00253577,0.002514664,0.002475444,0.002442604,0.00241461,0.002386878,0.002367971,0.002351384,0.002341355,0.00232942,0.002322863,0.002314439,0.002309851,0.002301635,0.00229611,0.002293264,0.002289864,0.002284762,0.002282187,0.002282573,0.002276797,0.002280002,0.002274694,0.0022731,0.002271233,0.002273434,0.002272465,0.002274514,0.002269809,0.002271903,0.002268959,0.002269829,0.002270738,0.002270481,0.002270598,0.002265967,0.002271438,0.002269123,0.002270535,0.002268225,0.002266908,0.002269227,0.002268855,0.002264781,0.002267251,0.002266318
11,0.040284624,0.045525722,0.046172705,0.045718709,0.045207229,0.044830962,0.044131744,0.043546281,0.043047215,0.042552815,0.042215746,0.041920027,0.041741243,0.041528455,0.04141157,0.041261383,0.041179586,0.041033118,0.040934622,0.040883873,0.040823264,0.040732304,0.040686405,0.040693286,0.040590309,0.040647443,0.040552822,0.040524408,0.040491116,0.040530354,0.040513089,0.040549601,0.040465735,0.040503054,0.040450578,0.040466084,0.040482285,0.040477717,0.040479791,0.040397233,0.040494761,0.040453506,0.040478673,0.040437491,0.040414002,0.040455355,0.040448728,0.040376083,0.040420122,0.040403492
11.5,0.426793059,0.482319566,0.489173976,0.484364146,0.478945309,0.474958957,0.46755118,0.461348525,0.456061201,0.450823309,0.447252237,0.444119263,0.44222513,0.439970772,0.438732422,0.437141283,0.436274687,0.434722941,0.433679431,0.43314177,0.432499655,0.431535987,0.431049708,0.431122597,0.430031631,0.430636918,0.429634479,0.429333435,0.428980725,0.429396424,0.429213513,0.429600332,0.428711836,0.4291072,0.428551255,0.428715527,0.428887164,0.428838766,0.428860742,0.427986099,0.429019336,0.428582272,0.4288489,0.428412605,0.428163749,0.428601855,0.428531649,0.427762025,0.428228582,0.428052394
12,2.687129246,3.036729272,3.079885095,3.049601961,3.015484517,2.990385952,2.943747234,2.90469462,2.871405042,2.838426906,2.815942694,2.796217129,2.784291161,2.770097664,2.762300618,2.752282789,2.74682642,2.737056712,2.730486533,2.72710123,2.723058459,2.716991218,2.713929423,2.714388174,2.707519707,2.711330138,2.705019183,2.703123574,2.700902899,2.703519946,2.702368504,2.704803781,2.699210116,2.70169898,2.698198989,2.699233043,2.700313681,2.700009032,2.700147372,2.694640815,2.701145589,2.698394244,2.700072742,2.697326001,2.695759124,2.698517275,2.698075404,2.693229989,2.696167104,2.695058002
12.5,10.05612238,11.36443897,11.52593845,11.41260916,11.28493183,11.19100222,11.01649237,10.87034228,10.74575994,10.62234744,10.53819572,10.46437485,10.41973725,10.36662356,10.33743875,10.29995149,10.2795279,10.24297111,10.2183805,10.2057087,10.19058018,10.16787675,10.15641568,10.15812912,10.13243243,10.14668182,10.12307428,10.11597598,10.10766588,10.11745498,10.11314966,10.12225974,10.10133442,10.11064061,10.09754847,10.10141376,10.10545782,10.1043191,10.10483639,10.08423466,10.10856577,10.09827852,10.1045556,10.0942808,10.08841588,10.0987335,10.09708304,10.07895426,10.0899382,10.08579159
13,22.39605547,25.30979003,25.66941217,25.41701807,25.13268667,24.92345962,24.53520055,24.20967515,23.93219171,23.65737519,23.46984076,23.30541519,23.20590711,23.08766057,23.02258181,22.93913288,22.89358955,22.81224023,22.75743391,22.72917139,22.69549092,22.64495904,22.61939384,22.62316204,22.5660378,22.59762311,22.54519091,22.52932093,22.51081907,22.53255277,22.52301797,22.54325682,22.49676807,22.51738048,22.48830812,22.4968527,22.50585869,22.50334229,22.50448821,22.45868609,22.51270458,22.48992458,22.50384156,22.48102118,22.46794301,22.49086042,22.48722976,22.44691712,22.47126965,22.46209195
13.5,29.9677378,33.86629491,34.34695874,34.0092578,33.62899374,33.34867612,32.8330481,32.39713666,32.02559056,31.65822294,31.40610166,31.18590207,31.05180678,30.89401246,30.80612827,30.69485522,30.6333416,30.52514906,30.45141335,30.41318872,30.36824375,30.30093604,30.26632956,30.27089775,30.19550165,30.23628307,30.16755443,30.14571174,30.12101032,30.14942121,30.13719387,30.16377705,30.1027026,30.12915956,30.0911028,30.10190362,30.11394872,30.11077628,30.11224887,30.05175585,30.12235755,30.09317221,30.11117247,30.08125831,30.06359649,30.09365696,30.08924559,30.03591932,30.0674163,30.05570278
14,26.14323209,29.54249941,29.9581165,29.66366829,29.33326416,29.08629421,28.66310864,28.28056675,27.95472165,27.63669432,27.40864375,27.21527896,27.09182942,26.95710621,26.87494238,26.78052491,26.72294335,26.63306806,26.56600511,26.5298731,26.49149921,26.43488886,26.40197594,26.40271798,26.34406235,26.36950195,26.31932229,26.29611588,26.27494556,26.29514367,26.28810751,26.3078924,26.26234976,26.27774332,26.25031703,26.25541469,26.26588237,26.2644467,26.2653163,26.21797433,26.26807944,26.25148107,26.26293387,26.24108634,26.22457077,26.24665671,26.24586285,26.20355242,26.22358389,26.21724125
14.5,24.85288485,28.07670977,28.45552038,28.17626706,27.86797317,27.62262931,27.33639295,26.96300336,26.64575645,26.35412477,26.10202635,25.91264774,25.76710512,25.65178384,25.54974401,25.47152996,25.39972972,25.33392284,25.25826343,25.21176442,25.17891105,25.13428215,25.09113897,25.07770031,25.05294212,25.03298765,25.02784294,24.98773888,24.96924443,24.96846036,24.97757052,24.98155583,24.97196004,24.95313518,24.95218463,24.93821308,24.94796876,24.95240731,24.95143166,24.93008881,24.92769602,24.95047969,24.94288859,24.94061389,24.92010637,24.92306549,24.93560123,24.91373917,24.90035741,24.91118224
15,49.79112581,56.23682789,56.96714078,56.40863949,55.80070439,55.29169953,54.91127742,54.14826989,53.50016308,52.93364729,52.36997864,51.9809728,51.64244612,51.43234175,51.18823616,51.05050277,50.87839644,50.77904898,50.60787065,50.49437653,50.43446704,50.36038331,50.25432365,50.20374473,50.20558003,50.09248944,50.15253148,50.04261219,50.00808621,49.97328099,50.01761049,50.00109696,50.03778736,49.94475683,49.98430177,49.92526486,49.94428774,49.96283369,49.95794101,49.95453439,49.86675549,49.9760391,49.93048894,49.95651032,49.90762095,49.8834891,49.93052757,49.91741613,49.83685047,49.88624089
